secID,ticker,secShortName,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-10,0.7332,2016-08-11,0.7332,CNY,0.7332,0.73018,0.7384749999999988,0.7240966666666672,0.7314175525995587,0.7339538317867844,0.7285944989646981
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-09,0.7356,2016-08-10,0.7356,CNY,0.7356,0.7283200000000002,0.7398549999999988,0.7233200000000005,0.730526328899338,0.7340331825011828,0.7284383796847067
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-08,0.7307,2016-08-09,0.7307,CNY,0.7307,0.7262000000000002,0.7409899999999988,0.7224633333333338,0.7279894933490069,0.7338682543434126,0.7281956119283894
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-05,0.7263,2016-08-06,0.7263,CNY,0.7263,0.7245400000000001,0.7415199999999988,0.7217450000000005,0.7266342400235102,0.734201754800614,0.7281107170682418
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-04,0.7251,2016-08-05,0.7251,CNY,0.7251,0.72474,0.7423399999999988,0.7209833333333339,0.7268013600352653,0.7350335184638366,0.7281720975689138
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-03,0.7239,2016-08-04,0.7239,CNY,0.7239,0.7259800000000001,0.7432299999999988,0.7202683333333338,0.727652040052898,0.7360791519863457,0.7282762369275073
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-02,0.725,2016-08-03,0.725,CNY,0.725,0.7296199999999999,0.7441549999999988,0.7195983333333339,0.7295280600793469,0.7373611679849084,0.7284245846164711
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-08-01,0.7224,2016-08-02,0.7224,CNY,0.7224,0.7349,0.7451249999999988,0.7191666666666673,0.7317920901190204,0.7386623435622671,0.7285406727762825
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-29,0.7273,2016-07-30,0.7273,CNY,0.7273,0.73904,0.7462749999999988,0.7191550000000005,0.7364881351785304,0.7403741692004004,0.7287488321871393
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-28,0.7313,2016-07-29,0.7313,CNY,0.7313,0.74238,0.7463649999999988,0.7190550000000006,0.7410822027677956,0.7417503975372847,0.7287979453894183
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-27,0.7421,2016-07-28,0.7421,CNY,0.7421,0.74624,0.7463049999999989,0.7189266666666672,0.7459733041516934,0.7428504393833146,0.7287131295382627
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-26,0.7514,2016-07-27,0.7514,CNY,0.7514,0.7468400000000001,0.745669999999999,0.7184616666666671,0.74790995622754,0.7429294330026109,0.7282593348817935
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-25,0.7431,2016-07-26,0.7431,CNY,0.7431,0.7461800000000001,0.744484999999999,0.7178900000000006,0.7461649343413099,0.7420377943713068,0.7274749011995673
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-22,0.7440000000000001,2016-07-23,0.7440000000000001,CNY,0.7440000000000001,0.7468800000000001,0.7432799999999988,0.7174566666666673,0.7476974015119648,0.7419259832524969,0.7269452337923475
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-21,0.7506,2016-07-22,0.7506,CNY,0.7506,0.7494200000000001,0.7415249999999989,0.7171600000000006,0.7495461022679472,0.7417076657001281,0.7263671026924116
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-20,0.7451,2016-07-21,0.7451,CNY,0.7451,0.7515000000000002,0.7399199999999989,0.716668333333334,0.7490191534019207,0.740771630510668,0.7255456435047777
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-19,0.7481,2016-07-20,0.7481,CNY,0.7481,0.7546400000000002,0.7387399999999988,0.7163816666666672,0.7509787301028811,0.7403160126696856,0.7248827797564079
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-18,0.7466,2016-07-19,0.7466,CNY,0.7466,0.7566800000000002,0.7369899999999989,0.7159700000000006,0.7524180951543216,0.7394966455822841,0.7240957501780362
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-15,0.7567,2016-07-16,0.7567,CNY,0.7567,0.7556200000000002,0.7351099999999989,0.7156966666666672,0.7553271427314823,0.7387489240646299,0.7233328890774378
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-14,0.7609999999999999,2016-07-15,0.7609999999999999,CNY,0.7609999999999999,0.7528200000000003,0.7326399999999988,0.7153450000000005,0.7546407140972233,0.7368593371240646,0.7222017926393725
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-13,0.7608,2016-07-14,0.7608,CNY,0.7608,0.7492000000000003,0.7297349999999989,0.7148500000000003,0.7514610711458349,0.7343182147160714,0.7208865896335371
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-12,0.7583,2016-07-13,0.7583,CNY,0.7583,0.7455200000000003,0.727134999999999,0.7145700000000003,0.7467916067187523,0.7315306583703948,0.7195335825293316
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-11,0.7413,2016-07-12,0.7413,CNY,0.7413,0.7427400000000002,0.724304999999999,0.7143700000000003,0.7410374100781285,0.7287128329356994,0.7182194564977666
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-08,0.7427,2016-07-09,0.7427,CNY,0.7427,0.7435600000000002,0.7220349999999989,0.7143933333333335,0.7409061151171927,0.7273878679815626,0.7174370589230952
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-07,0.7429,2016-07-08,0.7429,CNY,0.7429,0.7408400000000002,0.720929999999999,0.7141516666666669,0.740009172675789,0.7257760646112007,0.7165806809441798
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-06,0.7424,2016-07-07,0.7424,CNY,0.7424,0.7382800000000003,0.7199499999999989,0.713921666666667,0.7385637590136835,0.7239735450965902,0.715688492995007
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-05,0.7444,2016-07-06,0.7444,CNY,0.7444,0.7356800000000004,0.7188749999999989,0.7134550000000003,0.7366456385205253,0.7220339182646522,0.7147830101622847
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-04,0.7454,2016-07-05,0.7454,CNY,0.7454,0.7323400000000004,0.7179599999999989,0.7131183333333337,0.7327684577807879,0.7196795938714579,0.7137790352124322
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-07-01,0.7291,2016-07-02,0.7291,CNY,0.7291,0.7270600000000005,0.716929999999999,0.7129883333333338,0.7264526866711819,0.7169721827000323,0.7127071279536424
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-06-30,0.7301,2016-07-01,0.7301,CNY,0.7301,0.7230200000000004,0.7165849999999989,0.7132116666666671,0.7251290300067728,0.7156955703526673,0.7121514319369083
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-06-29,0.7294,2016-06-30,0.7294,CNY,0.7294,0.7207000000000005,0.7166149999999989,0.7132700000000004,0.7226435450101591,0.7141793146003165,0.7115429997439568
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-06-28,0.7277,2016-06-29,0.7277,,0.7277,0.7191200000000004,0.714809999999999,0.7133733333333337,0.7192653175152386,0.7125771371898235,0.7109376713682288
000950.OFCN,950,易方达沪深300非银行金融ETF联接,2016-06-27,0.7190000000000001,2016-06-28,0.7190000000000001,CNY,0.7190000000000001,0.7162000000000004,0.712879999999999,0.7135050000000004,0.7150479762728578,0.7109852568940155,0.7103694506918987
