index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-12-08,2907.82,3020.26,2879.85,3041.66,58757089000.0,593478000000.0,0.028121486346,2880.0900000000015,2617.4085,2442.743666666667,2892.3869655163057,2668.239956038236,2477.1308270585296
sh000001,2014-12-05,2926.57,2937.65,2813.05,2978.03,64050029600.0,639191000000.0,0.013171781189299998,2812.070000000002,2590.0789999999997,2431.1798333333336,2828.4504482744583,2631.1852145685766,2458.7196652426433
sh000001,2014-12-04,2783.47,2899.46,2772.43,2900.51,53268771800.0,509219000000.0,0.0431480198955,2761.108000000002,2564.1049999999996,2420.6666666666665,2773.8506724116874,2598.925763470532,2442.484735530842
sh000001,2014-12-03,2768.68,2779.53,2733.87,2824.18,56212028100.0,529777000000.0,0.005782428004609999,2707.3140000000017,2540.4249999999997,2410.486166666667,2711.046008617531,2567.2905806779563,2426.994045531803
sh000001,2014-12-02,2667.82,2763.55,2665.69,2777.37,43773338100.0,397239000000.0,0.0311138721455,2672.2780000000016,2522.4109999999996,2401.9281666666666,2676.804012926296,2544.9495891703727,2415.043671746937
sh000001,2014-12-01,2691.73,2680.16,2668.84,2720.74,44679174100.0,401120000000.0,-0.000998943282013,2633.088000000002,2505.7674999999995,2393.1275000000005,2633.4310193894435,2521.939019609359,2403.2298954068583
sh000001,2014-11-28,2629.63,2682.84,2622.06,2683.18,46588003500.0,401951000000.0,0.0199008852357,2603.6320000000023,2493.2609999999995,2385.4115000000006,2610.0665290841653,2505.284179568239,2393.8424321795046
sh000001,2014-11-27,2615.37,2630.49,2599.11,2631.4,36407571900.0,338961000000.0,0.010037456635,2564.422000000002,2480.1279999999997,2377.294500000001,2573.6797936262474,2486.5940932070007,2384.0459022398495
sh000001,2014-11-26,2572.65,2604.35,2570.4,2605.07,33712724900.0,316521000000.0,0.0143122148842,2528.856000000002,2468.1575000000003,2370.277500000001,2545.274690439371,2471.447155649843,2375.691863073061
sh000001,2014-11-25,2532.0,2567.6,2527.08,2568.38,31431557200.0,282169000000.0,0.0137069319142,2498.184000000002,2456.5915,2363.656833333334,2515.737035659057,2457.457382560353,2367.94073791241
sh000001,2014-11-24,2505.53,2532.88,2495.52,2546.75,36348583500.0,330291000000.0,0.0185331216013,2475.9380000000015,2445.1050000000005,2358.0180000000005,2489.8055534885852,2445.863422829864,2361.1726256404695
sh000001,2014-11-21,2452.64,2486.79,2446.65,2488.2,21223977400.0,197810000000.0,0.013915911704,2464.1640000000016,2432.9830000000006,2353.150166666667,2468.2683302328774,2436.7037831277444,2355.352035174057
sh000001,2014-11-20,2443.28,2452.66,2437.48,2458.32,16549521300.0,150800000000.0,0.000682990437318,2462.570000000001,2423.7575000000006,2348.8779999999997,2459.007495349316,2431.4315497727703,2350.8965097515174
sh000001,2014-11-19,2452.15,2450.99,2442.71,2461.49,18623577100.0,167069000000.0,-0.0021902273521100003,2469.160000000001,2416.2455000000004,2345.3371666666662,2462.181243023974,2429.1969760646407,2347.446898959096
sh000001,2014-11-18,2474.18,2456.37,2449.81,2477.05,20106257000.0,174659000000.0,-0.007131340265939999,2477.858000000001,2410.0235000000007,2341.9094999999998,2467.7768645359606,2426.902973545129,2343.9369623275397
sh000001,2014-11-17,2506.86,2474.01,2472.45,2508.77,21568780000.0,199265000000.0,-0.00194245335691,2480.518000000001,2404.1880000000006,2338.2944999999995,2473.4802968039407,2423.8011812867217,2340.1256717888223
sh000001,2014-11-14,2477.97,2478.82,2457.05,2481.03,22060761900.0,191925000000.0,-0.0027285096672600003,2480.450000000001,2398.3240000000005,2334.1731666666665,2473.215445205911,2418.516042474798,2335.5872185986573
sh000001,2014-11-13,2495.0,2485.61,2471.41,2507.74,29503705800.0,258312000000.0,-0.00355585702167,2468.320000000001,2391.4420000000005,2329.6339999999996,2470.4131678088656,2412.168257472145,2330.731868543099
sh000001,2014-11-12,2454.6,2494.48,2444.81,2494.92,25293385200.0,215739000000.0,0.010043029988200001,2456.3700000000013,2384.9865000000004,2325.255166666667,2462.814751713298,2404.4375477323706,2325.4817606776523
sh000001,2014-11-11,2483.65,2469.67,2445.96,2508.62,41190406500.0,331257000000.0,-0.00161702860483,2441.3240000000014,2378.9460000000004,2320.7071666666666,2446.982127569947,2394.959394862094,2319.7530048682443
sh000001,2014-11-10,2436.63,2473.67,2428.19,2474.16,30062820300.0,245234000000.0,0.022952057567500003,2433.526000000001,2373.4365000000007,2316.6234999999997,2435.63819135492,2387.0951206370514,2314.6710710560183
sh000001,2014-11-07,2427.9,2418.17,2407.44,2454.42,29117224500.0,244158000000.0,-0.00317124125672,2424.7980000000016,2368.053500000001,2311.9694999999992,2416.6222870323795,2377.981975440952,2309.281274909432
sh000001,2014-11-06,2419.62,2425.86,2401.75,2426.89,22200508800.0,179644000000.0,0.0027322472134,2425.2000000000016,2365.8720000000008,2308.1278333333325,2415.848430548569,2373.751657066315,2305.5901303087894
sh000001,2014-11-05,2432.17,2419.25,2415.5,2434.36,26360665400.0,201859000000.0,-0.00469951375687,2418.2440000000015,2364.047500000001,2304.6546666666663,2410.8426458228532,2368.2665683364535,2301.513184000746
sh000001,2014-11-04,2428.27,2430.68,2417.22,2435.22,30901303900.0,226504000000.0,0.000265428603409,2409.0000000000014,2362.224500000001,2301.3329999999996,2406.6389687342794,2362.899891319238,2297.522103900482
